time_best,objective_type,objective,obj_bound,obj_gap,nonzeros,num_solutions,status,contiguity,sparsity,num_callbacks,num_lazy_cuts,bnb_nodes,roots,grid,deviation
0.025999784469604492,,0.0,0.0,0.0,312,7,Optimal,tree,94.19642857142857,0,0,13.0,"[0, 3, 12, 15]",4x4,0
0.02499985694885254,,0.0,0.0,0.0,348,33,Optimal,dist,93.52678571428571,0,0,190.0,"[0, 3, 12, 15]",4x4,0
0.02200007438659668,,0.0,0.0,0.0,348,33,Optimal,dag,93.52678571428571,0,0,190.0,"[0, 3, 12, 15]",4x4,0
0.06800007820129395,,0.0,0.0,0.0,192,33,Optimal,cut,87.5,76,101,672.0,"[0, 3, 12, 15]",4x4,0
0.019999980926513672,,0.0,0.0,0.0,312,91,Optimal,tree,94.19642857142857,0,0,218.0,"[0, 3, 12, 15]",4x4,1
0.031000137329101562,,0.0,0.0,0.0,348,597,Optimal,dist,93.52678571428571,0,0,1593.0,"[0, 3, 12, 15]",4x4,1
0.029000043869018555,,0.0,0.0,0.0,348,597,Optimal,dag,93.52678571428571,0,0,1593.0,"[0, 3, 12, 15]",4x4,1
0.17499995231628418,,0.0,0.0,0.0,192,597,Optimal,cut,87.5,668,134,4836.0,"[0, 3, 12, 15]",4x4,1
0.02200007438659668,,0.0,0.0,0.0,312,329,Optimal,tree,94.19642857142857,0,0,709.0,"[0, 3, 12, 15]",4x4,2
0.06499981880187988,,0.0,0.0,0.0,348,2257,Optimal,dist,93.52678571428571,0,0,4989.0,"[0, 3, 12, 15]",4x4,2
0.07500004768371582,,0.0,0.0,0.0,348,2257,Optimal,dag,93.52678571428571,0,0,4989.0,"[0, 3, 12, 15]",4x4,2
0.7079999446868896,,0.0,0.0,0.0,192,2297,Optimal,cut,87.5,2399,159,9445.0,"[0, 3, 12, 15]",4x4,2
